Ranking,Title,Artist,Gender
1,Blinding Lights,The Weeknd,Male
2,Circles,Post Malone,Male
3,The Box,Roddy Ricch,Male
4,Don't Start Now,Dua Lipa,Female
5,Rockstar,DaBaby Featuring Roddy Ricch,Male
6,Adore You,Harry Styles,Male
7,Life Is Good,Future Featuring Drake,Male
8,Memories,Maroon 5,Male
9,The Bones,Maren Morris,Male
10,Someone You Loved,Lewis Capaldi,Male
11,Say So,Doja Cat,Female
12,I Hope,Gabby Barrett Featuring Charlie Puth,Mixed Group
13,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Male
14,Dance Monkey,Tones And I,Female
15,Savage,Megan Thee Stallion,Female
16,Roxanne,Arizona Zervas,Male
17,Intentions,Justin Bieber Featuring Quavo,Male
18,Everything I Wanted,Billie Eilish,Female
19,Roses,SAINt JHN,Male
20,Watermelon Sugar,Harry Styles,Male
21,Before You Go,Lewis Capaldi,Male
22,Falling,Trevor Daniel,Male
23,"10,000 Hours",Dan + Shay & Justin Bieber,Mixed Group
24,WAP,Cardi B Featuring Megan Thee Stallion,Female
25,Ballin',Mustard & Roddy Ricch,Male
26,Hot Girl Bummer,blackbear,Male
27,Blueberry Faygo,Lil Mosey,Male
28,Heartless,The Weeknd,Male
29,BOP,DaBaby,Male
30,Lose You To Love Me,Selena Gomez,Female
31,Good As Hell,Lizzo,Female
32,Toosie Slide,Drake,Male
33,Break My Heart,Dua Lipa,Female
34,Chasin' You,Morgan Wallen,Male
35,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,Male
36,No Guidance,Chris Brown Featuring Drake,Male
37,My Oh My,Camila Cabello Featuring DaBaby,Mixed Group
38,Dynamite,BTS,male group
39,Go Crazy,Chris Brown & Young Thug,Male
40,High Fashion,Roddy Ricch Featuring Mustard,Male
41,Laugh Now Cry Later,Drake Featuring Lil Durk,Male
42,Woah,Lil Baby,Male
43,Death Bed,Powfu Featuring beabadoobee,Male
44,Senorita,Shawn Mendes & Camila Cabello,Mixed Group
45,HIGHEST IN THE ROOM,Travis Scott,Male
46,Bad Guy,Billie Eilish,Female
47,Mood,24kGoldn Featuring iann dior,Male
48,Rain On Me,Lady Gaga & Ariana Grande,Female
49,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,Male
50,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,Mixed Group
51,Heart On Ice,Rod Wave,Male
52,Nobody But You,Blake Shelton Duet With Gwen Stefani,Mixed Group
53,Trampoline,SHAED,Mixed Group
54,Come & Go,Juice WRLD x Marshmello,Male
55,Truth Hurts,Lizzo,Female
56,If The World Was Ending,JP Saxe Featuring Julia Michaels,Mixed Group
57,We Paid,Lil Baby & 42 Dugg,Male
58,Yummy,Justin Bieber,Male
59,One Man Band,Old Dominion,Male
60,Got What I Got,Jason Aldean,Male
61,Sunday Best,Surfaces,male group
62,Godzilla,Eminem Featuring Juice WRLD,Male
63,Bandit,Juice WRLD & YoungBoy Never Broke Again,Male
64,Party Girl,StaySolidRocky,Male
65,Die From A Broken Heart,Maddie & Tae,Female Group
66,Popstar,DJ Khaled Featuring Drake,Male
67,All I Want For Christmas Is You,Mariah Carey,Female
68,One Of Them Girls,Lee Brice,Male
69,Hard To Forget,Sam Hunt,Male
70,One Margarita,Luke Bryan,Male
71,Panini,Lil Nas X,Male
72,Hot,Young Thug Featuring Gunna,Male
73,I Hope You're Happy Now,Carly Pearce & Lee Brice,Mixed Group
74,Emotionally Scarred,Lil Baby,Male
75,Suicidal,YNW Melly & Juice WRLD,Male
76,The Bigger Picture,Lil Baby,Male
77,Only Human,Jonas Brothers,Male
78,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,Male
79,Sum 2 Prove,Lil Baby,Male
80,Stuck With U,Ariana Grande & Justin Bieber,Mixed Group
81,Mood Swings,Pop Smoke Featuring Lil Tjay,Male
82,You Should Be Sad,Halsey,Female
83,Dior,Pop Smoke,Male
84,Supalonely,BENEE Featuring Gus Dapperton,Male
85,Even Though I'm Leaving,Luke Combs,Male
86,The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",Male
87,Juicy,Doja Cat & Tyga,Mixed Group
88,Be Like That,Kane Brown With Swae Lee & Khalid,Male
89,Homesick,Kane Brown,Male
90,Rags2Riches,Rod Wave Featuring ATR Son Son,Male
91,Bluebird,Miranda Lambert,Female
92,Wishing Well,Juice WRLD,Male
93,Does To Me,Luke Combs Featuring Eric Church,Male
94,P*$$y Fairy (OTW),Jhene Aiko,Female
95,ily,Surf Mesa Featuring Emilee,Mixed group
96,More Than My Hometown,Morgan Wallen,Female
97,Lovin' On You,Luke Combs,Male
98,Said Sum,Moneybagg Yo,Male
99,Slide,H.E.R. Featuring YG,Mxied group
100,Walk Em Down,NLE Choppa Featuring Roddy Ricch,Male