Rank,Artist,Song,Gender,Year
51.0,N Sync,This I Promise You,Male Group,2000
52.0,Jay-Z,Izzo (H.O.V.A.),Male,2000
53.0,Lil’ Mo feat. Fabolous,Superwoman Pt. II,Mixed Group,2000
54.0,Evan And Jaron,Crazy For This Girl,Mixed Group,2000
55.0,Ricky Martin and Christina Aguilera,Nobody Wants To Be Lonely,Mixed Group,2000
56.0,Jay-Z,I Just Wanna Love U (Give It 2 Me),Male,2000
57.0,Missy “Misdemeanor” Elliott,One Minute Man,Female,2000
58.0,Mystikal feat. Nivea,Danger (Been So Long),Mixed Group,2000
59.0,Enya,Only Time,Female,2000
60.0,Toya,I Do!!,Female,2000
61.0,S Club 7,Never Had A Dream Come True,Mixed Group,2000
62.0,Tamia,Stranger In My House,Female,2000
63.0,Jessica Simpson,Irresistible,Female,2000
64.0,Sunshine Anderson,Heard It All Before,Female,2000
65.0,Dave Matthews Band,The Space Between,Male Group,2000
66.0,Faith Hill,There You’ll Be,Female,2000
67.0,Musiq Soulchild,Love,Male,2000
68.0,112,It’s Over Now,Male Group,2000
69.0,3LW,No More (Baby I’ma Do Right),Female Group,2000
70.0,Nelly Furtado,Turn Off The Light,Female,2000
71.0,Brooks and Dunn,Ain’t Nothing `Bout You,Male Group,2000
72.0,Jennifer Lopez,Play,Female,2000
73.0,Lonestar,I’m Already There,Male Group,2000
74.0,Lil’ Romeo,My Baby,Male,2000
75.0,U2,Beautiful Day,Male Group,2000
76.0,Blake Shelton,Austin,Male,2000
77.0,Ludacris,Southern Hospitality,Male,2000
78.0,Tim McGraw,Grown Men Don’t Cry,Male,2000
79.0,Ja Rule feat. Case,Livin’ It Up,Male,2000
80.0,Mariah Carey feat. Cameo,Loverboy,Mixed Group,2000
81.0,Isley Brothers feat. Ronald Isley AKA Mr. Biggs,Contagious,Male Group,2000
82.0,Jessica Andrews,Who I Am,Female,2000
83.0,Erick Sermon feat. Marvin Gaye,Music,Male,2000
84.0,Willa Ford,I Wanna Be Bad,Female,2000
85.0,Kenny Chesney,Don’t Happen Twice,Male,2000
86.0,Diamond Rio,One More Day,Male,2000
87.0,R. Kelly,I Wish,Male,2000
88.0,Travis Tritt,It’s A Great Day To Be Alive,Male,2000
89.0,Trick Daddy,I’m A Thug,Male,2000
90.0,Eve 6,Here’s To The Night,Male Group,2000
91.0,Toby Keith,You Shouldn’t Kiss Me Like This,Male,2000
92.0,Eden’s Crush,Get Over Yourself,Female Group,2000
93.0,Debelah Morgan,Dance With Me,Female,2000
94.0,Outkast,"So Fresh, So Clean",Male Group,2000
95.0,Nelly,E.I.,Male,2000
96.0,3 Doors Down,Be Like That,Male Group,2000
97.0,Pink,Most Girls,Female,2000
98.0,QB’s Finest feat. Nas and Braveheart’s,Oochie Wally,Mixed Group,2000
99.0,Enrique Iglesias,Hero,Male,2000
100.0,Fuel,Hemorrhage (In My Hands),Male Group,2000
1.0,Mariah Carey,We Belong Together,Female,2005
2.0,Gwen Stefani,Hollaback Girl,Female,2005
3.0,Mario,Let Me Love You,male,2005
4.0,Kelly Clarkson,Since U Been Gone,Female,2005
5.0,Ciara feat. Missy Elliott,"1, 2 Step",Female,2005
6.0,Kanye West feat. Jamie Foxx,Gold Digger,male,2005
7.0,Green Day,Boulevard of Broken Dreams,Male Group,2005
8.0,50 Cent feat. Olivia,Candy Shop,Mixed Group,2005
9.0,The Pussycat Dolls feat. Busta Rhymes,Don’t Cha,Mixed Group,2005
10.0,Kelly Clarkson,Behind These Hazel Eyes,Female,2005
11.0,50 Cent,Disco Inferno,male,2005
12.0,Lifehouse,You and Me,Male Group,2005
13.0,The Black Eyed Peas,Don’t Phunk With My Heart,Mixed Group,2005
14.0,Missy Elliott feat. Ciara and Fat Man Scoop,Lose Control,Mixed Group,2005
15.0,Mariah Carey,Shake it Off,Female,2005
16.0,The Killers,Mr. Brightside,Male Group,2005
17.0,50 Cent,Just a Lil Bit,male,2005
18.0,Rihanna,Pon de Replay,Female,2005
19.0,The Game feat. 50 Cent,How We Do,male,2005
20.0,Weezer,Beverly Hills,Male Group,2005
21.0,Ciara feat. Ludacris,Oh,Mixed Group,2005
22.0,Rob Thomas,Lonely No More,male,2005
23.0,Snoop Dogg feat. Pharrell,Drop it Like It’s Hot,male,2005
24.0,The Game feat. 50 Cent,Hate It or Love It,male,2005
25.0,Lil Jon and The East Side Boyz feat. Usher and Ludacris,Lovers and Friends,Male Group,2005
26.0,Destiny’s Child feat. T.I. and Lil Wayne,Soldier,Mixed Group,2005
27.0,Kelly Clarkson,Breakaway,Female,2005
28.0,Will Smith,Switch,male,2005
29.0,Bow Wow feat. Omarion,Let Me HOld You,male,2005
30.0,Bow Wow feat. Ciara,Like You,Mixed Group,2005
31.0,Gwen Stefani feat. Eve,Rich Girl,Female,2005
32.0,The Black Eyed Peas,My Humps,Mixed Group,2005
33.0,Frankie J feat. Baby Bash,Obsession (No Es Amor),Male Group,2005
34.0,Usher,Caught Up,male,2005
35.0,D.H.T.,Listen to your Heart,Mixed Group,2005
36.0,Papa Roach,Scars,Male Group,2005
37.0,Gorillaz,Feel Good Inc,Male Group,2005
38.0,3 Doors Down,Let Me Go,Male Group,2005
39.0,Green Day,Holiday,Male Group,2005
40.0,Fall Out Boy,"Sugar, we’re Goin’ Down",Male Group,2005
41.0,Pretty Ricky,Grind With Me,Male Group,2005
42.0,Chris Brown,Run It!,male,2005
43.0,Nickelback,Photograph,male,2005
44.0,Akon,Lonely,male,2005
45.0,Howie Day,Collide,male,2005
46.0,Green Day,Wake Me up When September Ends,Male Group,2005
47.0,Bobby Valentino,Slow Down,male,2005
48.0,Nelly feat. Tim McGraw,Over and Over,male,2005
49.0,Trillville feat. Cutty,Some Cut,Male Group,2005
50.0,Fat Joe feat. Nelly,Get it Poppin’,male,2005
51.0,David Banner,Play,male,2005
52.0,Young Jeezy feat. Akon,Soul Survivor,male,2005
53.0,Ludacris feat. Bobby Valentino,Pimpin’ All Over the World,male,2005
54.0,Usher And Alicia Keys,My Boo,Mixed Group,2005
55.0,"Trick Daddy feat. Ludacris, Lil’ Kim and Cee-Lo",Sugar (Gimme Some),Mixed Group,2005
56.0,Alicia Keys,Karma,Female,2005
57.0,Coldplay,Speed of Sound,Male Group,2005
58.0,Gavin DeGraw,I Don’t Want to Be,male,2005
59.0,Eminem,Mockingbird,male,2005
60.0,Shakira feat. Alejandro Sanz,La Tortura,Mixed Group,2005
61.0,Maroon5,She Will be Loved,Male Group,2005
62.0,Baby Bash feat. Akon,Baby I’m Back,male,2005
63.0,Ying Yang Twins,Wait (The Whisper Song),Male Group,2005
64.0,Backstreet Boys,Incomplete,Male Group,2005
65.0,T.I.,Bring em Out,male,2005
66.0,Destiny’s Child,Cater 2 U,female group,2005
67.0,Amerie,1 Thing,Female,2005
68.0,Foo Fighters,Best of You,Male Group,2005
69.0,Mariah Carey,It’s Like That,Female,2005
70.0,Natalie,Goin’ Crazy,Female,2005
71.0,Carrie Underwood,Inside your Heaven,Female,2005
72.0,Kelly Clarkson,Because of You,Female,2005
73.0,Fantasia,Truth Is,Female,2005
74.0,Pretty Ricky,Your Body,Male Group,2005
75.0,Jesse McCartney,Beautiful Soul,male,2005
76.0,Gwen Stefani,Cool,Female,2005
77.0,Ludacris,Get Back,male,2005
78.0,50 Cent feat. Mobb Deep,Outta Control (Remix),male,2005
79.0,T.I.,U Don’t Know Me,male,2005
80.0,Natasha Bedingfield,These Words,Female,2005
81.0,The Black Eyed Peas,Don’t Lie,Mixed Group,2005
82.0,Jennifer Lopez,Get Right,Female,2005
83.0,John Mayer,Daughters,male,2005
84.0,Toby Keith,As Good as I Once Was,male,2005
85.0,Brooke Valentine feat. Lil Jon and Big Boi,Girlfight,Mixed Group,2005
86.0,Destiny’s Child,Lose My Breath,Female,2005
87.0,John Legend,Ordinary People,male,2005
88.0,Sean Paul,We Be Burnin’,male,2005
89.0,The Click Five,Just the Girl,Male Group,2005
90.0,Ryan Cabrera,TRUE,Male Group,2005
91.0,Omarion,O,male,2005
92.0,Mike Jones,Back Then,male,2005
93.0,Jay-Z/Linkin Park,Numb/Encore,Male Group,2005
94.0,Ja Rule feat. R. Kelly and Ashanti,Wonderful,Mixed Group,2005
95.0,T-Pain,I’m Sprung,male,2005
96.0,Gavin DeGraw,Chariot,male,2005
97.0,112 feat. Foxy Brown,U Already Know,Mixed Group,2005
98.0,Faith Hill,Mississippi Girl,Female,2005
99.0,Ludacris,Number One Spot,male,2005
100.0,Webbie feat. Bun B,Give Me That,male,2005
1.0,Ke$ha,TiK ToK,Female,2010
2.0,Lady Antebellum,Need You Now,Mixed Group,2010
3.0,Train,"Hey, Soul Sister",Male Group,2010
4.0,Katy Perry feat. Snoop Dogg,California Gurls,Mixed Group,2010
5.0,Usher feat. will.i.am,OMG,Male,2010
6.0,B.o.B feat. Hayley Williams,Airplanes,Mixed Group,2010
7.0,Eminem feat. Rihanna,Love The Way You Lie,Mixed Group,2010
8.0,Lady Gaga,Bad Romance,Female,2010
9.0,Taio Cruz,Dynamite,Male,2010
10.0,Taio Cruz feat. Ludacris,Break Your Heart,Male,2010
11.0,B.o.B feat. Bruno Mars,Nothin’ On You,Male,2010
12.0,Enrique Iglesias feat. Pitbull,I Like It,Male,2010
13.0,Young Money feat. Lloyd,Bedrock,Male,2010
14.0,Jason Derulo,In My Head,Male,2010
15.0,Rihanna,Rude Boy,Female,2010
16.0,Lady Gaga feat. Beyonce,Telephone,Female,2010
17.0,Katy Perry,Teenage Dream,Female,2010
18.0,Bruno Mars,Just The Way You Are,Male,2010
19.0,Mike Posner,Cooler Than Me,Male,2010
20.0,Black Eyed Peas,Imma Be,Mixed Group,2010
21.0,Jay-Z and Alicia Keys,Empire State of Mind,Mixed Group,2010
22.0,Usher feat. Pitbull,DJ Got Us Fallin’ in Love,Male,2010
23.0,Travie McCoy feat. Bruno Mars,Billionaire,Male Group,2010
24.0,Eminem,Not Afraid,Male,2010
25.0,Iyaz,Replay,Male,2010
26.0,David Guetta feat. Akon,Sexy Chick,Male,2010
27.0,The Script,Breakeven,Male Group,2010
28.0,Ke$ha,Your Love Is My Drug,Female,2010
29.0,Black Eyed Peas,I Gotta Feeling,Mixed Group,2010
30.0,Owl City,Fireflies,Male,2010
31.0,Trey Songz feat. Fabolous,Say Aah,Male,2010
32.0,Drake,Find Your Love,Male,2010
33.0,Lady Gaga,Alejandro,Female,2010
34.0,Jason Derulo,Ridin’ Solo,Male,2010
35.0,Nelly,Just A Dream,Male,2010
36.0,Ludacris,How Low,Male,2010
37.0,Far East Movement feat. The Cataracs and Dev,Like A G6,Male Group,2010
38.0,Timbaland feat. Justin Timberlake,Carry Out,Male,2010
39.0,Michael Buble,Haven’t Met You Yet,Male,2010
40.0,Flo Rida feat. David Guetta,Club Can’t Handle Me,Male,2010
41.0,Jay Sean feat. Lil Wayne,Down,Male,2010
42.0,La Roux,Bulletproof,Female,2010
43.0,Jason Derulo,Whatcha Say,Male,2010
44.0,Justin Bieber feat. Ludacris,Baby,Male,2010
45.0,Adam Lambert,Whataya Want From Me,Male,2010
46.0,Taylor Swift,Mine,Female,2010
47.0,Rihanna,Only Girl (In The World),Female,2010
48.0,Kris Allen,Live Like We’re Dying,Male,2010
49.0,Rihanna feat. Jeezy,Hard,Mixed Group,2010
50.0,Jay-Z and Mr. Hudson,Young Forever,Male,2010
51.0,Ke$ha feat. 3OH!3,Blah Blah Blah,Mixed Group,2010
52.0,Trey Songz feat. Nicki Minaj,Bottoms Up,Mixed Group,2010
53.0,Jay Sean feat. Sean Paul & Lil Jon,Do You Remember,Male,2010
54.0,OneRepublic,All The Right Moves,Male Group,2010
55.0,Orianthi,According To You,Female,2010
56.0,Ludacris feat. Nicki Minaj,My Chick Bad,Mixed Group,2010
57.0,Taylor Swift,You Belong With Me,Female,2010
58.0,Black Eyed Peas,Meet Me Halfway,Mixed Group,2010
59.0,Ke$ha,Take It Off,Female,2010
60.0,Drake,Over,Male,2010
61.0,Neon Trees,Animal,Male Group,2010
62.0,Maroon 5,Misery,Male Group,2010
63.0,B.o.B feat. Rivers Cuomo,Magic,Male,2010
64.0,Lady Gaga,Paparazzi,Female,2010
65.0,New Boyz feat. Ray J,Tie Me Down,Male Group,2010
66.0,Nicki Minaj,Your Love,Female,2010
67.0,Miley Cyrus,Party In The U.S.A.,Female,2010
68.0,Chris Brown feat. Tyga and Kevin McCall,Deuces,Male,2010
69.0,Britney Spears,3,Female,2010
70.0,Shontelle,Impossible,Female,2010
71.0,"Drake feat. Kanye West, Lil Wayne and Eminem",Forever,Male,2010
72.0,Boys Like Girls feat. Taylor Swift,Two Is Better Than One,Mixed Group,2010
73.0,3OH!3 feat. Ke$ha,My First Kiss,Mixed Group,2010
74.0,Kelly Clarkson,Already Gone,Female,2010
75.0,Black Eyed Peas,Rock That Body,Mixed Group,2010
76.0,OneRepublic,Secrets,Male Group,2010
77.0,Selena Gomez and The Scene,Naturally,Mixed Group,2010
78.0,Alicia Keyes,Un-Thinkable (I’m Ready),Female,2010
79.0,"DJ Khaled feat. T-Pain, Ludacris, Snoop Dogg and Rick Ross",All I Do Is Win,Male,2010
80.0,"Kevin Rudolf feat. Birdman, Jay Sean, & Lil Wayne",I Made It (Cash Money Heroes),Male,2010
81.0,Sugarland,Stuck Like Glue,Mixed Group,2010
82.0,Usher feat. Plies,Hey Daddy (Daddy’s Home),Male,2010
83.0,Usher,There Goes My Baby,Male,2010
84.0,Taylor Swift,Today Was A Fairytale,Female,2010
85.0,Timbaland feat. Drake,Say Something,Male,2010
86.0,Beyonce,Sweet Dreams,Female,2010
87.0,Kings of Leon,Use Somebody,Male Group,2010
88.0,Carrie Underwood,Undo It,Female,2010
89.0,Sean Kingston and Justin Bieber,Eenie Meenie,Male,2010
90.0,Lil Wayne feat. Drake,Right Above It,Male,2010
91.0,Miranda Lambert,The House That Built Me,Female,2010
92.0,The Band Perry,If I Die Young,Mixed Group,2010
93.0,Paramore,The Only Exception,Mixed Group,2010
94.0,Lady Antebellum,American Honey,Mixed Group,2010
95.0,Sara Bareilles,King Of Anything,Female,2010
96.0,Daughtry,Life After You,Male Group,2010
97.0,Uncle Kraker,Smile,Male,2010
98.0,Cali Swag District,Teach Me How To Dougie,Male Group,2010
99.0,Alicia Keyes,Try Sleeping With A Broken Heart,Female,2010
100.0,Jerrod Niemann,"Lover, Lover",Male,2010
1.0,Mark Ronson Featuring Bruno Mars,Uptown Funk!,Male,2015
2.0,Ed Sheeran,Thinking Out Loud,Male,2015
3.0,Wiz Khalifa Featuring Charlie Puth,See You Again,Male,2015
4.0,Fetty Wap,Trap Queen,Male,2015
5.0,Maroon 5,Sugar,Male group,2015
6.0,WALK THE MOON,Shut Up And Dance,Male group,2015
7.0,Taylor Swift,Blank Space,Female,2015
8.0,Silento,Watch Me,Male,2015
9.0,The Weeknd,Earned It (Fifty Shades Of Grey),Male,2015
10.0,The Weeknd,The Hills,Male,2015
11.0,OMI,Cheerleader,Male,2015
12.0,The Weeknd,Can't Feel My Face,Male,2015
13.0,Ellie Goulding,Love Me Like You Do,Female,2015
14.0,Hozier,Take Me To Church,Male group,2015
15.0,Taylor Swift Featuring Kendrick Lamar,Bad Blood,Female,2015
16.0,Major Lazer & DJ Snake Featuring MO,Lean On,Mixed Group,2015
17.0,Jason Derulo,Want To Want Me,Male,2015
18.0,Taylor Swift,Shake It Off,Female,2015
19.0,Skrillex & Diplo With Justin Bieber,Where Are U Now,Male,2015
20.0,Rachel Platten,Fight Song,Female,2015
21.0,Fetty Wap Featuring Remy Boyz,679,Male,2015
22.0,Meghan Trainor,Lips Are Movin,Female,2015
23.0,Fifth Harmony Featuring Kid Ink,Worth It,Mixed Group,2015
24.0,Omarion Featuring Chris Brown & Jhene Aiko,Post To Be,Mixed Group,2015
25.0,Andy Grammer,"Honey, I'm Good.",Male,2015
26.0,Sam Smith,I'm Not The Only One,Male,2015
27.0,Selena Gomez Featuring A$AP Rocky,Good For You,Mixed Group,2015
28.0,Meghan Trainor,All About That Bass,Female,2015
29.0,Taylor Swift,Style,Female,2015
30.0,Drake,Hotline Bling,Male,2015
31.0,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",Hey Mama,Mixed Group,2015
32.0,Flo Rida Featuring Sage The Gemini & Lookas,G.D.F.R.,Male,2015
33.0,Justin Bieber,What Do You Mean?,Male,2015
34.0,Ed Sheeran,Photograph,Male,2015
35.0,Adele,Hello,Female,2015
36.0,Shawn Mendes,Stitches,Male,2015
37.0,Tove Lo,Talking Body,Female,2015
38.0,Nick Jonas,Jealous,Male,2015
39.0,Pitbull & Ne-Yo,Time Of Our Lives,Male,2015
40.0,R. City Featuring Adam Levine,Locked Away,Male,2015
41.0,Natalie La Rose Featuring Jeremih,Somebody,Mixed Group,2015
42.0,Rihanna & Kanye West & Paul McCartney,FourFiveSeconds,Mixed Group,2015
43.0,Fall Out Boy,Centuries,Male group,2015
44.0,Fetty Wap Featuring Monty,My Way,Male,2015
45.0,Sam Hunt,Take Your Time,Male,2015
46.0,Maroon 5,Animals,Male,2015
47.0,Big Sean Featuring E-40,I Don't F**k With You,Male,2015
48.0,Rihanna,B**** Better Have My Money,Female,2015
49.0,Rich Homie Quan,Flex (Ooh Ooh Ooh),Male,2015
50.0,T-Wayne,Nasty Freestyle,Male,2015
51.0,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",Only,Mixed Group,2015
52.0,Sia,Elastic Heart,Female,2015
53.0,Demi Lovato,Cool For The Summer,Female,2015
54.0,X Ambassadors,Renegades,Male group,2015
55.0,Usher Featuring Juicy J,I Don't Mind,Female group,2015
56.0,Ariana Grande & The Weeknd,Love Me Harder,Mixed Group,2015
57.0,Taylor Swift,Wildest Dreams,Female,2015
58.0,Sam Smith,Stay With Me,Male,2015
59.0,DJ Snake & AlunaGeorge,You Know You Like It,Mixed Group,2015
60.0,Fall Out Boy,Uma Thurman,Male,2015
61.0,Beyonce,11-Jul,Female,2015
62.0,Selena Gomez,The Heart Wants What It Wants,Female,2015
63.0,Little Big Town,Girl Crush,Male group,2015
64.0,Trey Songz,Slow Motion,Male,2015
65.0,One Direction,Drag Me Down,Male group,2015
66.0,Nicki Minaj Featuring Drake & Lil Wayne,Truffle Butter,Mixed Group,2015
67.0,Ariana Grande,One Last Time,Female,2015
68.0,Nick Jonas,Chains,Male,2015
69.0,Meek Mill Featuring Chris Brown & Nicki Minaj,All Eyes On You,Mixed Group,2015
70.0,Rae Sremmurd,No Type,Male group,2015
71.0,Vance Joy,Riptide,Male,2015
72.0,Jidenna Featuring Roman GianArthur,Classic Man,Male,2015
73.0,Elle King,Ex's & Oh's,Female,2015
74.0,Meghan Trainor,Dear Future Husband,Female,2015
75.0,Charlie Puth Featuring Meghan Trainor,Marvin Gaye,Male,2015
76.0,Meghan Trainor Featuring John Legend,Like I'm Gonna Lose You,Mixed Group,2015
77.0,Tove Lo,Habits (Stay High),Female,2015
78.0,James Newton Howard Featuring Jennifer Lawrence,The Hanging Tree,Mixed Group,2015
79.0,O.T. Genasis,CoCo,Male,2015
80.0,"Jessie J, Ariana Grande & Nicki Minaj",Bang Bang,Female,2015
81.0,Sam Smith,Lay Me Down,Male,2015
82.0,I LOVE MAKONNEN Featuring Drake,Tuesday,Male,2015
83.0,iLoveMemphis,Hit The Quan,Male,2015
84.0,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",Downtown,Mixed Group,2015
85.0,Sam Hunt,House Party,Male,2015
86.0,Chris Brown & Tyga,Ayo,Male,2015
87.0,Luke Bryan,Kick The Dust Up,Male,2015
88.0,Big Sean Featuring Drake,Blessings,Male,2015
89.0,George Ezra,Budapest,Male,2015
90.0,Sia,Chandelier,Female,2015
91.0,Kelly Clarkson,Heartbeat Song,Female,2015
92.0,Ed Sheeran,Don't,Male,2015
93.0,Ella Henderson,Ghost,Female,2015
94.0,Alessia Cara,Here,Female,2015
95.0,Mr. Probz,Waves,Male,2015
96.0,Nicky Jam & Enrique Iglesias,El Perdon (Forgiveness),Male,2015
97.0,Ne-Yo Featuring Juicy J,She Knows,Mixed Group,2015
98.0,One Direction,Night Changes,Male Group,2015
99.0,Drake,Back To Back,Male,2015
100.0,Calvin Harris & Disciples,How Deep Is Your Love,Male,2015
1.0,The Weeknd,Blinding Lights,Male,2020
2.0,Post Malone,Circles,Male,2020
3.0,Roddy Ricch,The Box,Male,2020
4.0,Dua Lipa,Don't Start Now,Female,2020
5.0,DaBaby Featuring Roddy Ricch,Rockstar,Male,2020
6.0,Harry Styles,Adore You,Male,2020
7.0,Future Featuring Drake,Life Is Good,Male,2020
8.0,Maroon 5,Memories,Male,2020
9.0,Maren Morris,The Bones,Male,2020
10.0,Lewis Capaldi,Someone You Loved,Male,2020
11.0,Doja Cat,Say So,Female,2020
12.0,Gabby Barrett Featuring Charlie Puth,I Hope,Mixed Group,2020
13.0,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,Male,2020
14.0,Tones And I,Dance Monkey,Female,2020
15.0,Megan Thee Stallion,Savage,Female,2020
16.0,Arizona Zervas,Roxanne,Male,2020
17.0,Justin Bieber Featuring Quavo,Intentions,Male,2020
18.0,Billie Eilish,Everything I Wanted,Female,2020
19.0,SAINt JHN,Roses,Male,2020
20.0,Harry Styles,Watermelon Sugar,Male,2020
21.0,Lewis Capaldi,Before You Go,Male,2020
22.0,Trevor Daniel,Falling,Male,2020
23.0,Dan + Shay & Justin Bieber,"10,000 Hours",Mixed Group,2020
24.0,Cardi B Featuring Megan Thee Stallion,WAP,Female,2020
25.0,Mustard & Roddy Ricch,Ballin',Male,2020
26.0,blackbear,Hot Girl Bummer,Male,2020
27.0,Lil Mosey,Blueberry Faygo,Male,2020
28.0,The Weeknd,Heartless,Male,2020
29.0,DaBaby,BOP,Male,2020
30.0,Selena Gomez,Lose You To Love Me,Female,2020
31.0,Lizzo,Good As Hell,Female,2020
32.0,Drake,Toosie Slide,Male,2020
33.0,Dua Lipa,Break My Heart,Female,2020
34.0,Morgan Wallen,Chasin' You,Male,2020
35.0,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),Male,2020
36.0,Chris Brown Featuring Drake,No Guidance,Male,2020
37.0,Camila Cabello Featuring DaBaby,My Oh My,Mixed Group,2020
38.0,BTS,Dynamite,male group,2020
39.0,Chris Brown & Young Thug,Go Crazy,Male,2020
40.0,Roddy Ricch Featuring Mustard,High Fashion,Male,2020
41.0,Drake Featuring Lil Durk,Laugh Now Cry Later,Male,2020
42.0,Lil Baby,Woah,Male,2020
43.0,Powfu Featuring beabadoobee,Death Bed,Male,2020
44.0,Shawn Mendes & Camila Cabello,Senorita,Mixed Group,2020
45.0,Travis Scott,HIGHEST IN THE ROOM,Male,2020
46.0,Billie Eilish,Bad Guy,Female,2020
47.0,24kGoldn Featuring iann dior,Mood,Male,2020
48.0,Lady Gaga & Ariana Grande,Rain On Me,Female,2020
49.0,Pop Smoke Featuring Lil Baby & DaBaby,For The Night,Male,2020
50.0,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),Mixed Group,2020
51.0,Rod Wave,Heart On Ice,Male,2020
52.0,Blake Shelton Duet With Gwen Stefani,Nobody But You,Mixed Group,2020
53.0,SHAED,Trampoline,Mixed Group,2020
54.0,Juice WRLD x Marshmello,Come & Go,Male,2020
55.0,Lizzo,Truth Hurts,Female,2020
56.0,JP Saxe Featuring Julia Michaels,If The World Was Ending,Mixed Group,2020
57.0,Lil Baby & 42 Dugg,We Paid,Male,2020
58.0,Justin Bieber,Yummy,Male,2020
59.0,Old Dominion,One Man Band,Male,2020
60.0,Jason Aldean,Got What I Got,Male,2020
61.0,Surfaces,Sunday Best,male group,2020
62.0,Eminem Featuring Juice WRLD,Godzilla,Male,2020
63.0,Juice WRLD & YoungBoy Never Broke Again,Bandit,Male,2020
64.0,StaySolidRocky,Party Girl,Male,2020
65.0,Maddie & Tae,Die From A Broken Heart,Female Group,2020
66.0,DJ Khaled Featuring Drake,Popstar,Male,2020
67.0,Mariah Carey,All I Want For Christmas Is You,Female,2020
68.0,Lee Brice,One Of Them Girls,Male,2020
69.0,Sam Hunt,Hard To Forget,Male,2020
70.0,Luke Bryan,One Margarita,Male,2020
71.0,Lil Nas X,Panini,Male,2020
72.0,Young Thug Featuring Gunna,Hot,Male,2020
73.0,Carly Pearce & Lee Brice,I Hope You're Happy Now,Mixed Group,2020
74.0,Lil Baby,Emotionally Scarred,Male,2020
75.0,YNW Melly & Juice WRLD,Suicidal,Male,2020
76.0,Lil Baby,The Bigger Picture,Male,2020
77.0,Jonas Brothers,Only Human,Male,2020
78.0,Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo,Male,2020
79.0,Lil Baby,Sum 2 Prove,Male,2020
80.0,Ariana Grande & Justin Bieber,Stuck With U,Mixed Group,2020
81.0,Pop Smoke Featuring Lil Tjay,Mood Swings,Male,2020
82.0,Halsey,You Should Be Sad,Female,2020
83.0,Pop Smoke,Dior,Male,2020
84.0,BENEE Featuring Gus Dapperton,Supalonely,Male,2020
85.0,Luke Combs,Even Though I'm Leaving,Male,2020
86.0,"THE SCOTTS, Travis Scott & Kid Cudi",The Scotts,Male,2020
87.0,Doja Cat & Tyga,Juicy,Mixed Group,2020
88.0,Kane Brown With Swae Lee & Khalid,Be Like That,Male,2020
89.0,Kane Brown,Homesick,Male,2020
90.0,Rod Wave Featuring ATR Son Son,Rags2Riches,Male,2020
91.0,Miranda Lambert,Bluebird,Female,2020
92.0,Juice WRLD,Wishing Well,Male,2020
93.0,Luke Combs Featuring Eric Church,Does To Me,Male,2020
94.0,Jhene Aiko,P*$$y Fairy (OTW),Female,2020
95.0,Surf Mesa Featuring Emilee,ily,Mixed group,2020
96.0,Morgan Wallen,More Than My Hometown,Female,2020
97.0,Luke Combs,Lovin' On You,Male,2020
98.0,Moneybagg Yo,Said Sum,Male,2020
99.0,H.E.R. Featuring YG,Slide,Mxied group,2020
100.0,NLE Choppa Featuring Roddy Ricch,Walk Em Down,Male,2020
